pizza_id,order_id,customer_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name,ingredient_names,ingredient_ids
26,9,dec2b1be-3447-4044-b4e3-17848dfd390e,ital_cpcllo_m,2,01/01/2025,06:46:49,16.0,32.0,M,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
27,9,dec2b1be-3447-4044-b4e3-17848dfd390e,veggie_veg_m,3,01/01/2025,06:46:49,16.0,48.0,M,Veggie,The Vegetables + Vegetables Pizza,Mushrooms|Tomatoes|Red Peppers|Green Peppers|Red Onions|Zucchini|Spinach|Garlic,39|64|54|33|53|65|60|27
28,10,495a6541-1c93-4076-90e3-345d72d9c83c,thai_ckn_l,2,01/01/2025,06:51:30,20.75,41.5,L,Chicken,The Thai Chicken Pizza,Chicken|Pineapple|Tomatoes|Red Peppers|Thai Sweet Chilli Sauce,17|48|64|54|62
29,10,495a6541-1c93-4076-90e3-345d72d9c83c,mexicana_s,3,01/01/2025,06:51:30,12.0,36.0,S,Veggie,The Mexicana Pizza,Tomatoes|Red Peppers|Jalapeno Peppers|Red Onions|Cilantro|Corn|Chipotle Sauce|Garlic,64|54|35|53|20|22|18|27
30,11,878f6e41-bcd7-4f18-aa89-90133272eafa,southw_ckn_l,1,01/01/2025,03:00:36,20.75,20.75,L,Chicken,The Southwest Chicken Pizza,Chicken|Tomatoes|Red Peppers|Red Onions|Jalapeno Peppers|Corn|Cilantro|Chipotle Sauce,17|64|54|53|35|22|20|18
31,11,878f6e41-bcd7-4f18-aa89-90133272eafa,pep_msh_pep_m,1,01/01/2025,03:00:36,14.5,14.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni|Mushrooms|Green Peppers,46|39|33
32,11,878f6e41-bcd7-4f18-aa89-90133272eafa,ckn_pesto_l,3,01/01/2025,03:00:36,20.75,62.25,L,Chicken,The Chicken Pesto Pizza,Chicken|Tomatoes|Red Peppers|Spinach|Garlic|Pesto Sauce,17|64|54|60|27|47
33,11,878f6e41-bcd7-4f18-aa89-90133272eafa,ital_supr_m,1,01/01/2025,03:00:36,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Calabrese Salami|Capocollo|Tomatoes|Red Onions|Green Olives|Garlic,14|15|64|53|32|27
34,12,8744e987-8cc9-43b5-8332-cced97be3a91,spinach_fet_s,2,01/01/2025,12:40:32,12.0,24.0,S,Veggie,The Spinach and Feta Pizza,Spinach|Mushrooms|Red Onions|Feta Cheese|Garlic,60|39|53|24|27
35,12,8744e987-8cc9-43b5-8332-cced97be3a91,pep_msh_pep_m,2,01/01/2025,12:40:32,14.5,29.0,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni|Mushrooms|Green Peppers,46|39|33
36,12,8744e987-8cc9-43b5-8332-cced97be3a91,four_cheese_l,1,01/01/2025,12:40:32,17.95,17.95,L,Veggie,The Four Cheese Pizza,Ricotta Cheese|Gorgonzola Piccante Cheese|Mozzarella Cheese|Parmigiano Reggiano Cheese|Garlic,55|30|38|43|27
37,13,66e413c6-08ca-4615-9df9-61fadb3d4a07,peppr_salami_l,2,01/01/2025,17:24:37,20.75,41.5,L,Supreme,The Pepper Salami Pizza,Genoa Salami|Capocollo|Pepperoni|Tomatoes|Asiago Cheese|Garlic,28|15|46|64|7|27
38,14,e694d1b1-3299-499d-9ab3-422ab30b7da6,veggie_veg_m,2,01/01/2025,04:35:19,16.0,32.0,M,Veggie,The Vegetables + Vegetables Pizza,Mushrooms|Tomatoes|Red Peppers|Green Peppers|Red Onions|Zucchini|Spinach|Garlic,39|64|54|33|53|65|60|27
39,14,e694d1b1-3299-499d-9ab3-422ab30b7da6,bbq_ckn_l,3,01/01/2025,04:35:19,20.75,62.25,L,Chicken,The Barbecue Chicken Pizza,Barbecued Chicken|Red Peppers|Green Peppers|Tomatoes|Red Onions|Barbecue Sauce,10|54|33|64|53|9
40,14,e694d1b1-3299-499d-9ab3-422ab30b7da6,ckn_alfredo_s,1,01/01/2025,04:35:19,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza,Chicken|Red Onions|Red Peppers|Mushrooms|Asiago Cheese|Alfredo Sauce,17|53|54|39|7|2
41,15,18e7baeb-a66e-4a7d-882d-355810698bc3,bbq_ckn_s,2,01/01/2025,05:06:33,12.75,25.5,S,Chicken,The Barbecue Chicken Pizza,Barbecued Chicken|Red Peppers|Green Peppers|Tomatoes|Red Onions|Barbecue Sauce,10|54|33|64|53|9
42,15,18e7baeb-a66e-4a7d-882d-355810698bc3,four_cheese_m,2,01/01/2025,05:06:33,14.75,29.5,M,Veggie,The Four Cheese Pizza,Ricotta Cheese|Gorgonzola Piccante Cheese|Mozzarella Cheese|Parmigiano Reggiano Cheese|Garlic,55|30|38|43|27
43,15,18e7baeb-a66e-4a7d-882d-355810698bc3,spinach_fet_m,3,01/01/2025,05:06:33,16.0,48.0,M,Veggie,The Spinach and Feta Pizza,Spinach|Mushrooms|Red Onions|Feta Cheese|Garlic,60|39|53|24|27
44,16,05f69a50-2703-4591-a792-14e2e5994b43,the_greek_s,2,01/01/2025,22:18:19,12.0,24.0,S,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
45,16,05f69a50-2703-4591-a792-14e2e5994b43,ckn_alfredo_m,2,01/01/2025,22:18:19,16.75,33.5,M,Chicken,The Chicken Alfredo Pizza,Chicken|Red Onions|Red Peppers|Mushrooms|Asiago Cheese|Alfredo Sauce,17|53|54|39|7|2
46,16,05f69a50-2703-4591-a792-14e2e5994b43,ital_cpcllo_l,1,01/01/2025,22:18:19,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
47,17,3870073a-f764-4a2b-bc64-18e4569bf784,prsc_argla_l,2,01/01/2025,19:59:36,20.75,41.5,L,Supreme,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele|Arugula|Mozzarella Cheese,51|6|38
48,17,3870073a-f764-4a2b-bc64-18e4569bf784,thai_ckn_m,1,01/01/2025,19:59:36,16.75,16.75,M,Chicken,The Thai Chicken Pizza,Chicken|Pineapple|Tomatoes|Red Peppers|Thai Sweet Chilli Sauce,17|48|64|54|62
49,17,3870073a-f764-4a2b-bc64-18e4569bf784,spinach_supr_s,1,01/01/2025,19:59:36,12.5,12.5,S,Supreme,The Spinach Supreme Pizza,Spinach|Red Onions|Pepperoni|Tomatoes|Artichokes|Kalamata Olives|Garlic|Asiago Cheese,60|53|46|64|5|36|27|7
50,17,3870073a-f764-4a2b-bc64-18e4569bf784,southw_ckn_l,1,01/01/2025,19:59:36,20.75,20.75,L,Chicken,The Southwest Chicken Pizza,Chicken|Tomatoes|Red Peppers|Red Onions|Jalapeno Peppers|Corn|Cilantro|Chipotle Sauce,17|64|54|53|35|22|20|18
51,17,3870073a-f764-4a2b-bc64-18e4569bf784,prsc_argla_m,1,01/01/2025,19:59:36,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele|Arugula|Mozzarella Cheese,51|6|38
52,18,f78c30cb-fcda-4209-9aea-0ae7ce4f7b81,the_greek_l,2,01/01/2025,19:00:13,20.5,41.0,L,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
53,18,f78c30cb-fcda-4209-9aea-0ae7ce4f7b81,veggie_veg_l,2,01/01/2025,19:00:13,20.25,40.5,L,Veggie,The Vegetables + Vegetables Pizza,Mushrooms|Tomatoes|Red Peppers|Green Peppers|Red Onions|Zucchini|Spinach|Garlic,39|64|54|33|53|65|60|27
54,18,f78c30cb-fcda-4209-9aea-0ae7ce4f7b81,pep_msh_pep_s,3,01/01/2025,19:00:13,11.0,33.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Pepperoni|Mushrooms|Green Peppers,46|39|33
55,19,f4c4994a-5a77-4a2f-902b-4f69c22ccee3,mediterraneo_s,1,01/01/2025,22:32:10,12.0,12.0,S,Veggie,The Mediterranean Pizza,Spinach|Artichokes|Kalamata Olives|Sun-dried Tomatoes|Feta Cheese|Plum Tomatoes|Red Onions,60|5|36|61|24|49|53
56,19,f4c4994a-5a77-4a2f-902b-4f69c22ccee3,ital_veggie_s,1,01/01/2025,22:32:10,12.75,12.75,S,Veggie,The Italian Vegetables Pizza,Eggplant|Artichokes|Tomatoes|Zucchini|Red Peppers|Garlic|Pesto Sauce,23|5|64|65|54|27|47
57,19,f4c4994a-5a77-4a2f-902b-4f69c22ccee3,ital_cpcllo_s,1,01/01/2025,22:32:10,12.0,12.0,S,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
58,19,f4c4994a-5a77-4a2f-902b-4f69c22ccee3,spin_pesto_s,1,01/01/2025,22:32:10,12.5,12.5,S,Veggie,The Spinach Pesto Pizza,Spinach|Artichokes|Tomatoes|Sun-dried Tomatoes|Garlic|Pesto Sauce,60|5|64|61|27|47
59,20,89a5d615-2bb0-4843-8177-90bf7f452bfe,classic_dlx_m,1,01/02/2025,13:57:39,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Pepperoni|Mushrooms|Red Onions|Red Peppers|Bacon,46|39|53|54|8
60,20,89a5d615-2bb0-4843-8177-90bf7f452bfe,pepperoni_l,2,01/02/2025,13:57:39,15.25,30.5,L,Classic,The Pepperoni Pizza,Mozzarella Cheese|Pepperoni,38|46
61,20,89a5d615-2bb0-4843-8177-90bf7f452bfe,the_greek_s,3,01/02/2025,13:57:39,12.0,36.0,S,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
62,21,d224c314-09b4-49c7-9490-53d3247615d2,spicy_ital_l,3,01/02/2025,23:13:55,20.75,62.25,L,Supreme,The Spicy Italian Pizza,Capocollo|Tomatoes|Goat Cheese|Artichokes|Peperoncini verdi|Garlic,15|64|29|5|45|27
63,21,d224c314-09b4-49c7-9490-53d3247615d2,the_greek_m,2,01/02/2025,23:13:55,16.0,32.0,M,Classic,The Greek Pizza,Kalamata Olives|Feta Cheese|Tomatoes|Garlic|Beef Chuck Roast|Red Onions,36|24|64|27|11|53
64,22,4cd79f83-9fc7-43e4-a4c1-89402b7124e1,spinach_fet_s,3,01/02/2025,21:47:50,12.0,36.0,S,Veggie,The Spinach and Feta Pizza,Spinach|Mushrooms|Red Onions|Feta Cheese|Garlic,60|39|53|24|27
65,22,4cd79f83-9fc7-43e4-a4c1-89402b7124e1,bbq_ckn_m,1,01/02/2025,21:47:50,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Barbecued Chicken|Red Peppers|Green Peppers|Tomatoes|Red Onions|Barbecue Sauce,10|54|33|64|53|9
66,22,4cd79f83-9fc7-43e4-a4c1-89402b7124e1,pepperoni_m,2,01/02/2025,21:47:50,12.5,25.0,M,Classic,The Pepperoni Pizza,Mozzarella Cheese|Pepperoni,38|46
67,22,4cd79f83-9fc7-43e4-a4c1-89402b7124e1,pepperoni_m,2,01/02/2025,21:47:50,12.5,25.0,M,Classic,The Pepperoni Pizza,Mozzarella Cheese|Pepperoni,38|46
68,22,4cd79f83-9fc7-43e4-a4c1-89402b7124e1,southw_ckn_s,3,01/02/2025,21:47:50,12.75,38.25,S,Chicken,The Southwest Chicken Pizza,Chicken|Tomatoes|Red Peppers|Red Onions|Jalapeno Peppers|Corn|Cilantro|Chipotle Sauce,17|64|54|53|35|22|20|18
69,23,ddd9ed38-6351-4568-b08c-8f6c92cb84a8,prsc_argla_s,3,01/02/2025,19:13:20,12.5,37.5,S,Supreme,The Prosciutto and Arugula Pizza,Prosciutto di San Daniele|Arugula|Mozzarella Cheese,51|6|38
70,23,ddd9ed38-6351-4568-b08c-8f6c92cb84a8,ckn_alfredo_l,1,01/02/2025,19:13:20,20.75,20.75,L,Chicken,The Chicken Alfredo Pizza,Chicken|Red Onions|Red Peppers|Mushrooms|Asiago Cheese|Alfredo Sauce,17|53|54|39|7|2
71,23,ddd9ed38-6351-4568-b08c-8f6c92cb84a8,spicy_ital_m,3,01/02/2025,19:13:20,16.5,49.5,M,Supreme,The Spicy Italian Pizza,Capocollo|Tomatoes|Goat Cheese|Artichokes|Peperoncini verdi|Garlic,15|64|29|5|45|27
72,23,ddd9ed38-6351-4568-b08c-8f6c92cb84a8,four_cheese_m,3,01/02/2025,19:13:20,14.75,44.25,M,Veggie,The Four Cheese Pizza,Ricotta Cheese|Gorgonzola Piccante Cheese|Mozzarella Cheese|Parmigiano Reggiano Cheese|Garlic,55|30|38|43|27
73,23,ddd9ed38-6351-4568-b08c-8f6c92cb84a8,spicy_ital_l,3,01/02/2025,19:13:20,20.75,62.25,L,Supreme,The Spicy Italian Pizza,Capocollo|Tomatoes|Goat Cheese|Artichokes|Peperoncini verdi|Garlic,15|64|29|5|45|27
74,24,aac35f19-8d02-4c6c-b979-74da55c9ddb1,napolitana_m,2,01/02/2025,06:16:53,16.0,32.0,M,Classic,The Napolitana Pizza,Tomatoes|Anchovies|Green Olives|Red Onions|Garlic,64|3|32|53|27
75,24,aac35f19-8d02-4c6c-b979-74da55c9ddb1,veggie_veg_s,1,01/02/2025,06:16:53,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza,Mushrooms|Tomatoes|Red Peppers|Green Peppers|Red Onions|Zucchini|Spinach|Garlic,39|64|54|33|53|65|60|27
76,25,da60c5a5-12c8-4d5a-aabc-95e17051295d,four_cheese_l,2,01/02/2025,17:52:28,17.95,35.9,L,Veggie,The Four Cheese Pizza,Ricotta Cheese|Gorgonzola Piccante Cheese|Mozzarella Cheese|Parmigiano Reggiano Cheese|Garlic,55|30|38|43|27
77,26,c2457423-d813-4e9b-8cac-e77de71eef5d,ital_cpcllo_m,3,01/02/2025,02:01:40,16.0,48.0,M,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
78,26,c2457423-d813-4e9b-8cac-e77de71eef5d,ital_cpcllo_s,2,01/02/2025,02:01:40,12.0,24.0,S,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
79,26,c2457423-d813-4e9b-8cac-e77de71eef5d,green_garden_s,3,01/02/2025,02:01:40,12.0,36.0,S,Veggie,The Green Garden Pizza,Spinach|Mushrooms|Tomatoes|Green Olives|Feta Cheese,60|39|64|32|24
80,26,c2457423-d813-4e9b-8cac-e77de71eef5d,thai_ckn_s,2,01/02/2025,02:01:40,12.75,25.5,S,Chicken,The Thai Chicken Pizza,Chicken|Pineapple|Tomatoes|Red Peppers|Thai Sweet Chilli Sauce,17|48|64|54|62
81,27,ee7aa8c4-23cc-47a1-99a0-017906b423ea,spinach_fet_m,1,01/02/2025,21:14:43,16.0,16.0,M,Veggie,The Spinach and Feta Pizza,Spinach|Mushrooms|Red Onions|Feta Cheese|Garlic,60|39|53|24|27
82,27,ee7aa8c4-23cc-47a1-99a0-017906b423ea,sicilian_s,3,01/02/2025,21:14:43,12.25,36.75,S,Supreme,The Sicilian Pizza,Coarse Sicilian Salami|Tomatoes|Green Olives|Luganega Sausage|Onions|Garlic,21|64|32|37|40|27
83,28,593a500c-e015-4086-85cc-07b48573bb00,ckn_alfredo_m,1,01/02/2025,22:03:31,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza,Chicken|Red Onions|Red Peppers|Mushrooms|Asiago Cheese|Alfredo Sauce,17|53|54|39|7|2
84,28,593a500c-e015-4086-85cc-07b48573bb00,green_garden_m,1,01/02/2025,22:03:31,16.0,16.0,M,Veggie,The Green Garden Pizza,Spinach|Mushrooms|Tomatoes|Green Olives|Feta Cheese,60|39|64|32|24
85,29,58491188-36e5-4fb3-ab3b-514e78a270a6,ital_cpcllo_s,2,01/02/2025,03:48:57,12.0,24.0,S,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
86,29,58491188-36e5-4fb3-ab3b-514e78a270a6,ital_cpcllo_s,2,01/02/2025,03:48:57,12.0,24.0,S,Classic,The Italian Capocollo Pizza,Capocollo|Red Peppers|Tomatoes|Goat Cheese|Garlic|Oregano,15|54|64|29|27|41
87,30,27133460-80a8-449a-b422-65bfe97af456,ital_veggie_s,1,01/02/2025,21:05:14,12.75,12.75,S,Veggie,The Italian Vegetables Pizza,Eggplant|Artichokes|Tomatoes|Zucchini|Red Peppers|Garlic|Pesto Sauce,23|5|64|65|54|27|47
88,30,27133460-80a8-449a-b422-65bfe97af456,spinach_supr_m,2,01/02/2025,21:05:14,16.5,33.0,M,Supreme,The Spinach Supreme Pizza,Spinach|Red Onions|Pepperoni|Tomatoes|Artichokes|Kalamata Olives|Garlic|Asiago Cheese,60|53|46|64|5|36|27|7
89,31,9adbebb4-c5dd-473e-b0ca-c36f10577392,calabrese_m,3,01/02/2025,22:17:49,16.25,48.75,M,Supreme,The Calabrese Pizza,?duja Salami|Pancetta|Tomatoes|Red Onions|Friggitello Peppers|Garlic,1|42|64|53|26|27
90,31,9adbebb4-c5dd-473e-b0ca-c36f10577392,ital_veggie_l,3,01/02/2025,22:17:49,21.0,63.0,L,Veggie,The Italian Vegetables Pizza,Eggplant|Artichokes|Tomatoes|Zucchini|Red Peppers|Garlic|Pesto Sauce,23|5|64|65|54|27|47
91,32,f03fb49f-283d-405e-bf8d-52046ca6e77d,spinach_supr_s,3,01/02/2025,00:52:08,12.5,37.5,S,Supreme,The Spinach Supreme Pizza,Spinach|Red Onions|Pepperoni|Tomatoes|Artichokes|Kalamata Olives|Garlic|Asiago Cheese,60|53|46|64|5|36|27|7
92,32,f03fb49f-283d-405e-bf8d-52046ca6e77d,ckn_alfredo_l,3,01/02/2025,00:52:08,20.75,62.25,L,Chicken,The Chicken Alfredo Pizza,Chicken|Red Onions|Red Peppers|Mushrooms|Asiago Cheese|Alfredo Sauce,17|53|54|39|7|2
93,32,f03fb49f-283d-405e-bf8d-52046ca6e77d,mexicana_s,1,01/02/2025,00:52:08,12.0,12.0,S,Veggie,The Mexicana Pizza,Tomatoes|Red Peppers|Jalapeno Peppers|Red Onions|Cilantro|Corn|Chipotle Sauce|Garlic,64|54|35|53|20|22|18|27
94,32,f03fb49f-283d-405e-bf8d-52046ca6e77d,napolitana_l,1,01/02/2025,00:52:08,20.5,20.5,L,Classic,The Napolitana Pizza,Tomatoes|Anchovies|Green Olives|Red Onions|Garlic,64|3|32|53|27
95,32,f03fb49f-283d-405e-bf8d-52046ca6e77d,soppressata_m,2,01/02/2025,00:52:08,16.5,33.0,M,Supreme,The Soppressata Pizza,Soppressata Salami|Fontina Cheese|Mozzarella Cheese|Mushrooms|Garlic,59|25|38|39|27
96,33,fbf8d271-38a1-4618-bf25-806656b2594c,spinach_fet_l,3,01/03/2025,17:23:03,20.25,60.75,L,Veggie,The Spinach and Feta Pizza,Spinach|Mushrooms|Red Onions|Feta Cheese|Garlic,60|39|53|24|27
97,33,fbf8d271-38a1-4618-bf25-806656b2594c,spin_pesto_s,1,01/03/2025,17:23:03,12.5,12.5,S,Veggie,The Spinach Pesto Pizza,Spinach|Artichokes|Tomatoes|Sun-dried Tomatoes|Garlic|Pesto Sauce,60|5|64|61|27|47
98,33,fbf8d271-38a1-4618-bf25-806656b2594c,spinach_fet_s,1,01/03/2025,17:23:03,12.0,12.0,S,Veggie,The Spinach and Feta Pizza,Spinach|Mushrooms|Red Onions|Feta Cheese|Garlic,60|39|53|24|27
99,33,fbf8d271-38a1-4618-bf25-806656b2594c,bbq_ckn_m,2,01/03/2025,17:23:03,16.75,33.5,M,Chicken,The Barbecue Chicken Pizza,Barbecued Chicken|Red Peppers|Green Peppers|Tomatoes|Red Onions|Barbecue Sauce,10|54|33|64|53|9
100,34,34b17474-7fef-4a04-8009-f83028f66521,peppr_salami_m,3,01/03/2025,18:53:35,16.5,49.5,M,Supreme,The Pepper Salami Pizza,Genoa Salami|Capocollo|Pepperoni|Tomatoes|Asiago Cheese|Garlic,28|15|46|64|7|27
101,34,34b17474-7fef-4a04-8009-f83028f66521,thai_ckn_l,1,01/03/2025,18:53:35,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Chicken|Pineapple|Tomatoes|Red Peppers|Thai Sweet Chilli Sauce,17|48|64|54|62
